name,jan,feb,mar,apr,may,increase
Other,15.79%,15.30%,12.55%,15.53%,14.97%, -0.56%
Intel HD Graphics 4000,24.58%,25.00%,24.91%,24.97%,25.38%, +0.41%
Intel Haswell,18.15%,17.31%,16.84%,17.86%,17.67%, -0.19%
Intel Ivy Bridge,16.38%,16.20%,16.62%,16.90%,17.10%, +0.20%
Intel Cherryview Cherrytrail,6.11%,6.19%,5.91%,6.13%,6.25%, +0.12%
Intel Valleyview Baytrail,6.60%,6.57%,5.65%,6.18%,6.21%, +0.03%
ATI Radeon HD 5450,3.01%,2.83%,2.98%,2.97%,2.93%, -0.04%
AMD Radeon HD 6450,2.22%,2.14%,2.04%,2.08%,1.96%, -0.12%
AMD Radeon HD 6670,1.82%,2.05%,2.45%,2.01%,1.92%, -0.09%
ATI Radeon HD 5700 Series,1.91%,2.01%,2.22%,1.92%,1.91%, -0.01%
AMD Radeon HD 6570,2.07%,2.19%,2.15%,2.08%,1.91%, -0.17%
ATI Mobility Radeon HD 5000 Series,1.91%,1.93%,1.78%,1.80%,1.74%, -0.06%
AMD Radeon HD 6700 Series,1.80%,1.70%,1.87%,1.83%,1.59%, -0.24%
AMD Radeon HD 6800 Series,1.43%,1.48%,1.50%,1.34%,1.32%, -0.02%
AMD Radeon 6600M and 6700M Series,1.01%,1.10%,1.11%,1.13%,1.20%, +0.07%
Intel HD Graphics 2500,0.74%,0.92%,0.85%,0.76%,0.99%, +0.23%
ATI Radeon HD 5670,0.79%,0.94%,1.04%,0.91%,0.85%, -0.06%
AMD Radeon HD 6900 Series,0.83%,0.93%,0.93%,0.78%,0.77%, -0.01%
ATI Radeon HD 5800 Series,0.83%,0.81%,0.94%,0.78%,0.73%, -0.05%
AMD Radeon HD 6700M Series,0.53%,0.55%,0.66%,0.60%,0.71%, +0.11%
Intel Broadwell,0.81%,0.69%,0.67%,0.65%,0.67%, +0.02%
AMD Radeon HD 7400M Series,0.76%,0.79%,0.85%,0.69%,0.65%, -0.04%
ATI Radeon HD 5570,0.63%,0.66%,0.78%,0.72%,0.60%, -0.12%
AMD Radeon HD 6310,0.65%,0.60%,0.59%,0.58%,0.56%, -0.02%
AMD Radeon HD 6520G,0.50%,0.53%,0.50%,0.53%,0.45%, -0.08%
ATI Radeon HD 5500 Series,0.47%,0.47%,0.51%,0.41%,0.42%, +0.01%
AMD Radeon HD 7500/7600 Series,0.41%,0.44%,0.45%,0.41%,0.39%, -0.02%
AMD Radeon HD 6300M Series,0.40%,0.34%,0.41%,-,0.36%, +0.36%
AMD Radeon HD 6480G,0.34%,0.32%,-,-,0.33%, +0.33%
AMD Radeon HD 6320,0.30%,0.30%,0.38%,-,0.32%, +0.32%
ATI Mobility Radeon HD 5800 Series,-,-,-,-,0.30%, +0.30%
Other,1.65%,1.69%,1.71%,2.58%,1.78%, -0.80%
Intel HD Graphics 3000,24.97%,24.64%,23.98%,24.84%,24.83%, -0.01%
Intel Sandy Bridge,16.27%,15.12%,15.72%,15.95%,16.29%, +0.34%
NVIDIA GeForce 210,6.56%,7.07%,7.13%,7.03%,7.29%, +0.26%
Intel HD Graphics 2000,6.35%,6.42%,6.51%,6.84%,6.62%, -0.22%
Intel Ironlake Arrandale,6.68%,6.46%,6.12%,6.52%,6.61%, +0.09%
NVIDIA GeForce 9500 GT,2.76%,2.84%,2.76%,2.47%,2.71%, +0.24%
NVIDIA GeForce 9600 GT,2.62%,2.66%,2.95%,2.54%,2.44%, -0.10%
Intel Ironlake Clarkdale,2.48%,2.50%,2.43%,2.43%,2.39%, -0.04%
NVIDIA GeForce GT 240,1.91%,2.24%,2.45%,1.96%,2.07%, +0.11%
NVIDIA GeForce 9800 GT,1.97%,2.04%,2.22%,2.14%,1.97%, -0.17%
NVIDIA GeForce GT 220,1.97%,2.21%,2.28%,2.04%,1.86%, -0.18%
ATI 760G,1.47%,1.50%,1.29%,1.41%,1.64%, +0.23%
NVIDIA GeForce GTS 250,1.72%,1.89%,2.15%,1.71%,1.60%, -0.11%
NVIDIA GeForce 8400 GS,1.31%,1.27%,1.40%,1.35%,1.25%, -0.10%
NVIDIA GeForce 8800 GTX,1.01%,1.01%,0.96%,1.05%,1.07%, +0.02%
NVIDIA GeForce 310M,0.99%,0.81%,0.96%,0.87%,0.92%, +0.05%
NVIDIA GeForce 9400 GT,1.01%,1.02%,0.99%,0.92%,0.86%, -0.06%
AMD Radeon HD 4350,0.81%,0.88%,0.80%,0.99%,0.66%, -0.33%
ATI Mobility Radeon HD 4570,0.78%,0.72%,0.71%,0.60%,0.66%, +0.06%
AMD Radeon HD 4650,0.73%,0.68%,0.75%,0.67%,0.63%, -0.04%
NVIDIA GeForce G210,0.53%,0.56%,0.68%,0.60%,0.61%, +0.01%
AMD Radeon HD 4670,0.64%,0.57%,0.46%,0.51%,0.58%, +0.07%
AMD Radeon HD 4200,0.48%,0.34%,0.51%,0.40%,0.53%, +0.13%
NVIDIA NVS 3100M,0.41%,0.42%,0.44%,0.53%,0.52%, -0.01%
NVIDIA GeForce 8600 GT,0.53%,0.56%,0.57%,0.70%,0.49%, -0.21%
NVIDIA GeForce 315M,0.38%,0.35%,0.43%,0.51%,0.47%, -0.04%
ATI Mobility Radeon HD 4200,0.51%,0.46%,0.51%,0.42%,0.47%, +0.05%
NVIDIA GeForce 320M,0.58%,0.49%,0.46%,0.49%,0.46%, -0.03%
ATI Mobility Radeon HD 4670,0.38%,0.47%,0.41%,0.53%,0.45%, -0.08%
NVIDIA GeForce GT 330M,0.44%,0.55%,0.42%,0.49%,0.45%, -0.04%
NVIDIA GeForce 9400M,0.32%,0.30%,-,-,0.39%, +0.39%
NVIDIA GeForce GTX 260,0.38%,0.50%,0.35%,0.44%,0.37%, -0.07%
AMD Radeon HD 4850,0.35%,-,0.48%,0.33%,0.35%, +0.02%
Other,9.68%,10.09%,9.40%,9.08%,9.47%, +0.39%
NVIDIA GeForce 7025,23.48%,23.43%,25.71%,28.24%,29.66%, +1.42%
Intel Graphics Media Accelerator 3150,16.25%,15.87%,14.76%,16.03%,16.21%, +0.18%
NVIDIA GeForce 6150 SE,14.00%,11.59%,12.38%,9.41%,10.09%, +0.68%
Intel Graphics Media Accelerator 3600 Series,10.38%,9.82%,7.62%,8.65%,7.65%, -1.00%
NVIDIA GeForce 7300 SE,4.74%,2.52%,6.19%,4.83%,4.59%, -0.24%
ATI Radeon 3100,4.97%,3.27%,5.24%,3.05%,3.36%, +0.31%
ATI Radeon X1550,2.26%,1.01%,0.48%,1.53%,2.14%, +0.61%
NVIDIA GeForce 6200,0.90%,1.01%,0.48%,1.53%,1.83%, +0.30%
NVIDIA GeForce 6600,0.45%,1.76%,1.90%,1.27%,1.83%, +0.56%
NVIDIA GeForce 6100,0.68%,0.50%,0.48%,0.76%,1.53%, +0.77%
NVIDIA GeForce 7900 GS,0.45%,2.27%,0.48%,1.53%,1.53%, 0.00%
NVIDIA GeForce 7100 GS,0.45%,2.52%,0.95%,-,1.53%, +1.53%
NVIDIA GeForce 7300 LE,-,2.52%,2.86%,2.54%,1.53%, -1.01%
ATI Radeon X1650,0.90%,0.76%,-,0.76%,1.22%, +0.46%
ATI Radeon X1600,1.35%,1.51%,0.95%,-,1.22%, +1.22%
NVIDIA GeForce 7050,0.68%,-,2.38%,0.51%,1.22%, +0.71%
NVIDIA GeForce 7600 GT,0.68%,1.51%,0.48%,0.76%,0.92%, +0.16%
ATI Radeon X1950 GT,0.45%,0.50%,0.48%,0.51%,0.92%, +0.41%
NVIDIA GeForce 7300 GT,1.58%,1.51%,-,1.78%,0.92%, -0.86%
NVIDIA GeForce 6600 GT,0.45%,-,1.43%,1.27%,0.92%, -0.35%
NVIDIA GeForce 7150M,-,-,-,0.76%,0.61%, -0.15%
NVIDIA GeForce 7600 GS,1.58%,1.01%,1.43%,1.27%,0.61%, -0.66%
NVIDIA GeForce Go 7600,0.45%,-,0.48%,-,0.61%, +0.61%
ATI Mobility Radeon X1350,0.45%,0.50%,-,-,0.61%, +0.61%
ATI Radeon 2100,1.35%,1.76%,1.90%,1.78%,0.61%, -1.17%
NVIDIA GeForce 7100,-,1.01%,-,1.02%,0.61%, -0.41%
ATI Radeon X1300,2.71%,1.76%,-,1.53%,0.61%, -0.92%
ATI Mobility Radeon X1400,0.90%,-,0.95%,0.51%,0.61%, +0.10%
Other,3.16%,3.53%,-,3.82%,4.28%, +0.46%
SiS Mirage 3 Graphics,6.06%,20.00%,11.76%,15.63%,24.14%, +8.51%
Mobile Intel 945GM Express,12.12%,5.71%,5.88%,6.25%,13.79%, +7.54%
ATI Radeon X550,18.18%,14.29%,35.29%,18.75%,13.79%, -4.96%
ATI Radeon X300,15.15%,11.43%,23.53%,6.25%,10.34%, +4.09%
Intel G33/G31 Express,9.09%,11.43%,5.88%,9.38%,6.90%, -2.48%
Intel 82945G Express,6.06%,5.71%,-,9.38%,6.90%, -2.48%
ATI Radeon Xpress 1250,9.09%,11.43%,11.76%,3.13%,6.90%, +3.77%
ATI Radeon X600,3.03%,2.86%,-,-,6.90%, +6.90%
ATI Mobility Radeon X300,-,-,-,-,3.45%, +3.45%
Intel Q35 Express,3.03%,-,-,6.25%,3.45%, -2.80%
VIA/S3G UniChrome Pro IGP,9.09%,2.86%,-,15.63%,3.45%, -12.18%
